season,week,victim,victim_score,survivor,survivor_score,score_gap
20,2,Redfoo,31.0,Robert Herjavec,28.0,3.0
20,2,Redfoo,31.0,Suzanne Somers,28.0,3.0
20,4,Michael Sam,30.0,Chris Soules,27.0,3.0
20,4,Michael Sam,30.0,Suzanne Somers,28.0,2.0
20,5,Suzanne Somers,28.0,Chris Soules,27.0,1.0
20,5,Suzanne Somers,28.0,Patti LaBelle,27.0,1.0
20,5,Suzanne Somers,28.0,Robert Herjavec,24.0,4.0
20,6,Patti LaBelle,34.0,Robert Herjavec,33.5,0.5
20,7,Willow Shields,39.0,Chris Soules,31.0,8.0
20,7,Willow Shields,39.0,Noah Galloway,38.0,1.0
20,7,Willow Shields,39.0,Riker Lynch,37.0,2.0
20,7,Willow Shields,39.0,Robert Herjavec,31.0,8.0
20,7,Willow Shields,39.0,Rumer Willis,37.0,2.0
20,8,Chris Soules,32.0,Noah Galloway,31.5,0.5
20,9,Nastia Liukin,40.0,Noah Galloway,38.0,2.0
20,9,Nastia Liukin,40.0,Rumer Willis,39.0,1.0
21,2,Victor Espinoza,18.5,Gary Busey,16.5,2.0
21,7,Hayes Grier,28.0,Alek Skarlatos,26.5,1.5
21,7,Hayes Grier,28.0,Alexa PenaVega,27.5,0.5
21,7,Hayes Grier,28.0,Nick Carter,27.0,1.0
21,7,Hayes Grier,28.0,Tamar Braxton,27.0,1.0
21,9,Alexa PenaVega,30.0,Alek Skarlatos,25.5,4.5
21,9,Alexa PenaVega,30.0,Carlos PenaVega,27.0,3.0
21,9,Alexa PenaVega,30.0,Nick Carter,27.5,2.5
21,9,Alexa PenaVega,30.0,Tamar Braxton,24.5,5.5
21,11,Carlos PenaVega,30.0,Alek Skarlatos,27.999899999999997,2.0001000000000033
22,4,Marla Maples,28.0,Doug Flutie,24.0,4.0
22,4,Marla Maples,28.0,Jodie Sweetin,27.0,1.0
22,7,Kim Fields,26.0,Jodie Sweetin,25.5,0.5
22,7,Von Miller,26.0,Jodie Sweetin,25.5,0.5
22,8,Jodie Sweetin,30.0,Antonio Brown,27.0,3.0
22,8,Jodie Sweetin,30.0,Nyle DiMarco,29.0,1.0
22,8,Jodie Sweetin,30.0,Paige VanZant,28.0,2.0
22,8,Jodie Sweetin,30.0,Wanya Morris,25.0,5.0
22,9,Wanya Morris,30.0,Ginger Zee,28.0,2.0
22,9,Wanya Morris,30.0,Nyle DiMarco,28.5,1.5
22,9,Wanya Morris,30.0,Paige VanZant,29.5,0.5
23,2,Jake T. Austin,24.0,Rick Perry,22.0,2.0
23,4,Vanilla Ice,23.0,Marilu Henner,21.0,2.0
23,4,Vanilla Ice,23.0,Ryan Lochte,22.0,1.0
23,7,Maureen McCormick,33.0,Marilu Henner,32.0,1.0
23,8,Ryan Lochte,26.0,Marilu Henner,23.0,3.0
23,8,Ryan Lochte,26.0,Terra Jole,24.0,2.0
23,10,Terra Jole,30.0,Calvin Johnson Jr.,28.0,2.0
23,10,Terra Jole,30.0,James Hinchcliffe,29.5,0.5
23,10,Terra Jole,30.0,Jana Kramer,29.0,1.0
24,5,Erika Jayne,32.0,Bonner Bolton,30.0,2.0
24,5,Erika Jayne,32.0,David Ross,29.0,3.0
24,6,Heather Morris,37.0,Bonner Bolton,31.5,5.5
24,6,Heather Morris,37.0,David Ross,31.0,6.0
24,6,Heather Morris,37.0,Nancy Kerrigan,33.5,3.5
24,6,Heather Morris,37.0,Nick Viall,30.5,6.5
24,6,Heather Morris,37.0,Normani,36.0,1.0
24,6,Heather Morris,37.0,Rashad Jennings,35.0,2.0
24,6,Heather Morris,37.0,Simone Biles,34.5,2.5
24,7,Nancy Kerrigan,36.0,Bonner Bolton,31.0,5.0
24,7,Nancy Kerrigan,36.0,David Ross,32.0,4.0
24,7,Nick Viall,34.0,Bonner Bolton,31.0,3.0
24,7,Nick Viall,34.0,David Ross,32.0,2.0
24,9,Simone Biles,40.0,David Ross,35.0,5.0
24,9,Simone Biles,40.0,Normani,38.0,2.0
24,9,Simone Biles,40.0,Rashad Jennings,38.5,1.5
25,2,Debbie Gibson,20.5,Derek Fisher,19.0,1.5
25,2,Debbie Gibson,20.5,Nick Lachey,19.0,1.5
25,2,Debbie Gibson,20.5,Nikki Bella,19.5,1.0
25,2,Debbie Gibson,20.5,Terrell Owens,19.5,1.0
25,4,Derek Fisher,23.0,Nick Lachey,22.0,1.0
25,5,Sasha Pieterse,24.0,Nick Lachey,22.0,2.0
25,7,Vanessa Lachey,27.0,Lindsey Stirling,25.5,1.5
25,7,Vanessa Lachey,27.0,Terrell Owens,24.5,2.5
25,8,Terrell Owens,25.5,Drew Scott,23.5,2.0
25,8,Terrell Owens,25.5,Victoria Arlen,24.0,1.5
25,9,Victoria Arlen,28.0,Drew Scott,24.0,4.0
25,9,Victoria Arlen,28.0,Frankie Muniz,25.5,2.5
26,1,Jamie Anderson,19.0,Kareem Abdul-Jabbar,17.0,2.0
26,1,Johnny Damon,18.0,Kareem Abdul-Jabbar,17.0,1.0
26,2,Arike Ogunbowale,35.0,Chris Mazdzer,33.0,2.0
26,2,Arike Ogunbowale,35.0,Jennie Finch Daigle,31.5,3.5
26,2,Arike Ogunbowale,35.0,Josh Norman,31.5,3.5
26,2,Arike Ogunbowale,35.0,Tonya Harding,33.0,2.0
27,1,Nikki Glaser,17.5,Joe Amabile,14.0,3.5
27,2,Danelle Umstead,18.5,Joe Amabile,17.5,1.0
27,3,Nancy McKeon,22.0,Joe Amabile,18.0,4.0
27,3,Nancy McKeon,22.0,John Schneider,21.0,1.0
27,4,Tinashe,26.0,Alexis Ren,25.0,1.0
27,4,Tinashe,26.0,Bobby Bones,20.0,6.0
27,4,Tinashe,26.0,DeMarcus Ware,22.0,4.0
27,4,Tinashe,26.0,Evanna Lynch,24.0,2.0
27,4,Tinashe,26.0,Joe Amabile,15.0,11.0
27,4,Tinashe,26.0,John Schneider,21.0,5.0
27,4,Tinashe,26.0,Juan Pablo Di Pace,24.0,2.0
27,6,Mary Lou Retton,24.0,Bobby Bones,22.0,2.0
27,6,Mary Lou Retton,24.0,Joe Amabile,22.0,2.0
27,6,Mary Lou Retton,24.0,John Schneider,19.0,5.0
27,7,DeMarcus Ware,26.5,Joe Amabile,23.5,3.0
27,7,John Schneider,27.0,Bobby Bones,26.5,0.5
27,7,John Schneider,27.0,Joe Amabile,23.5,3.5
27,8,Joe Amabile,23.0,Bobby Bones,22.5,0.5
27,8,Juan Pablo Di Pace,30.0,Alexis Ren,29.0,1.0
27,8,Juan Pablo Di Pace,30.0,Bobby Bones,22.5,7.5
27,8,Juan Pablo Di Pace,30.0,Evanna Lynch,29.0,1.0
27,8,Juan Pablo Di Pace,30.0,Milo Manheim,27.5,2.5
28,2,Mary Wilson,15.0,Lamar Odom,12.0,3.0
28,6,Sailor Brinkley-Cook,27.0,Ally Brooke,25.0,2.0
28,6,Sailor Brinkley-Cook,27.0,Hannah Brown,24.0,3.0
28,6,Sailor Brinkley-Cook,27.0,Karamo Brown,25.0,2.0
28,6,Sailor Brinkley-Cook,27.0,Kel Mitchell,26.0,1.0
28,6,Sailor Brinkley-Cook,27.0,Lauren Alaina,26.0,1.0
28,6,Sailor Brinkley-Cook,27.0,Sean Spicer,21.0,6.0
28,7,Karamo Brown,24.5,Kate Flannery,24.0,0.5
28,7,Karamo Brown,24.5,Sean Spicer,21.0,3.5
28,8,Kate Flannery,25.9998,Lauren Alaina,24.0,1.9998000000000005
28,8,Kate Flannery,25.9998,Sean Spicer,20.0,5.9998000000000005
29,6,Veron Davis,21.0,Skai Jackson,18.0,3.0
29,8,Chrishell Stause,27.0,Nelly,24.0,3.0
29,8,Chrishell Stause,27.0,Skai Jackson,26.9998,0.00019999999999953388
29,9,AJ McLean,24.9998,Nelly,24.0,0.9998000000000005
29,10,Johnny Weir,28.5,Nelly,28.0,0.5
29,10,Skai Jackson,28.5,Nelly,28.0,0.5
30,3,Christine Chiu,21.0,Brian Austin Green,19.0,2.0
30,3,Christine Chiu,21.0,Cody Rigsby,18.0,3.0
30,3,Christine Chiu,21.0,Iman Shumpert,19.0,2.0
30,3,Christine Chiu,21.0,Jimmie Allen,20.0,1.0
30,3,Christine Chiu,21.0,Matt James,20.0,1.0
30,5,Melanie C,36.0,Cody Rigsby,32.0,4.0
30,5,Melanie C,36.0,Iman Shumpert,28.0,8.0
30,5,Melanie C,36.0,Jimmie Allen,34.0,2.0
30,5,Melanie C,36.0,"Mike ""The Miz"" Mizanin",32.0,4.0
30,8,Olivia Jade,36.0,Iman Shumpert,35.0,1.0
30,9,Melora Hardin,36.0,Cody Rigsby,35.5,0.5
30,9,Suni Lee,37.5,Cody Rigsby,35.5,2.0
31,1,Jason Lewis,18.0,Vinny Guadagnino,17.0,1.0
31,2,Teresa Giudice,23.0,Cheryl Ladd,21.0,2.0
31,3,Cheryl Ladd,24.0,Vinny Guadagnino,23.0,1.0
31,5,Joseph Baena,35.0,Daniel Durant,33.5,1.5
31,5,Joseph Baena,35.0,Vinny Guadagnino,31.0,4.0
31,6,Jessie James Decker,32.0,Vinny Guadagnino,28.0,4.0
31,7,Jordin Sparks,34.5,Vinny Guadagnino,31.5,3.0
32,2,Jamie Lynn Spears,16.0,Adrian Peterson,15.0,1.0
32,2,Jamie Lynn Spears,16.0,Barry Williams,15.0,1.0
32,2,Jamie Lynn Spears,16.0,Harry Jowsey,15.0,1.0
32,2,Jamie Lynn Spears,16.0,Mauricio Umansky,12.0,4.0
32,4,Adrian Peterson,21.0,Alyson Hannigan,18.0,3.0
32,4,Adrian Peterson,21.0,Barry Williams,18.0,3.0
32,4,Adrian Peterson,21.0,Mauricio Umansky,19.0,2.0
32,5,Mira Sorvino,22.0,Alyson Hannigan,21.0,1.0
32,5,Mira Sorvino,22.0,Harry Jowsey,18.0,4.0
32,6,Mauricio Umansky,33.0,Alyson Hannigan,31.0,2.0
32,6,Mauricio Umansky,33.0,Barry Williams,32.0,1.0
32,6,Mauricio Umansky,33.0,Harry Jowsey,29.0,4.0
32,7,Lele Pons,36.5,Alyson Hannigan,35.0,1.5
32,7,Lele Pons,36.5,Barry Williams,32.5,4.0
32,7,Lele Pons,36.5,Charity Lawson,36.0,0.5
32,7,Lele Pons,36.5,Harry Jowsey,32.0,4.5
32,7,Lele Pons,36.5,Jason Mraz,36.0,0.5
32,8,Barry Williams,35.0,Harry Jowsey,28.0,7.0
32,8,Barry Williams,35.0,Jason Mraz,33.0,2.0
33,2,Anna Delvey,17.0,Eric Roberts,15.0,2.0
33,2,Anna Delvey,17.0,Reginald VelJohnson,15.0,2.0
33,2,Tori Spelling,19.0,Eric Roberts,15.0,4.0
33,2,Tori Spelling,19.0,Reginald VelJohnson,15.0,4.0
33,4,Brooks Nader,32.0,Dwight Howard ,29.0,3.0
33,6,Jenn Tran,31.0,Danny Amendola,28.0,3.0
33,6,Jenn Tran,31.0,Ilona Maher,24.0,7.0
33,6,Jenn Tran,31.0,Stephen Nedoroscik,28.0,3.0
34,2,Baron Davis,18.0,Andy Richter,16.0,2.0
34,4,Hilaria Baldwin,23.0,Andy Richter,18.0,5.0
34,4,Hilaria Baldwin,23.0,Danielle Fishel,21.0,2.0
34,4,Hilaria Baldwin,23.0,Robert Irwin,22.0,1.0
34,4,Hilaria Baldwin,23.0,Scott Hoying,21.0,2.0
34,6,Scott Hoying,28.0,Andy Richter,27.0,1.0
34,7,Jen Affleck,34.0,Andy Richter,29.0,5.0
34,7,Jen Affleck,34.0,Elaine Hendrix,32.0,2.0
34,8,Danielle Fishel,37.0,Andy Richter,34.0,3.0
34,10,Whitney Leavitt,29.0,Dylan Efron,27.5,1.5
34,10,Whitney Leavitt,29.0,Elaine Hendrix,28.5,0.5
34,10,Whitney Leavitt,29.0,Jordan Chiles,28.5,0.5
