season,week,reason,n_rows_affected
7,8,latent_missing_flag==1 (no latent match),8
7,9,latent_missing_flag==1 (no latent match),9
7,10,latent_missing_flag==1 (no latent match),10
8,3,latent_missing_flag==1 (no latent match),1
8,4,latent_missing_flag==1 (no latent match),2
8,5,latent_missing_flag==1 (no latent match),4
8,6,latent_missing_flag==1 (no latent match),5
8,7,latent_missing_flag==1 (no latent match),6
8,8,latent_missing_flag==1 (no latent match),7
8,9,latent_missing_flag==1 (no latent match),8
8,10,latent_missing_flag==1 (no latent match),9
8,11,latent_missing_flag==1 (no latent match),10
9,2,latent_missing_flag==1 (no latent match),2
9,3,latent_missing_flag==1 (no latent match),3
9,4,latent_missing_flag==1 (no latent match),5
9,5,latent_missing_flag==1 (no latent match),6
9,6,latent_missing_flag==1 (no latent match),7
9,7,latent_missing_flag==1 (no latent match),9
9,8,latent_missing_flag==1 (no latent match),11
9,9,latent_missing_flag==1 (no latent match),12
9,10,latent_missing_flag==1 (no latent match),13
10,3,latent_missing_flag==1 (no latent match),1
10,4,latent_missing_flag==1 (no latent match),2
10,5,latent_missing_flag==1 (no latent match),3
10,6,latent_missing_flag==1 (no latent match),4
10,7,latent_missing_flag==1 (no latent match),5
10,8,latent_missing_flag==1 (no latent match),6
10,9,latent_missing_flag==1 (no latent match),7
10,10,latent_missing_flag==1 (no latent match),8
11,2,latent_missing_flag==1 (no latent match),1
11,3,latent_missing_flag==1 (no latent match),2
11,4,latent_missing_flag==1 (no latent match),3
11,5,latent_missing_flag==1 (no latent match),4
11,6,latent_missing_flag==1 (no latent match),5
11,7,latent_missing_flag==1 (no latent match),6
11,8,latent_missing_flag==1 (no latent match),7
11,9,latent_missing_flag==1 (no latent match),8
11,10,latent_missing_flag==1 (no latent match),9
12,3,latent_missing_flag==1 (no latent match),1
12,4,latent_missing_flag==1 (no latent match),2
12,5,latent_missing_flag==1 (no latent match),3
12,6,latent_missing_flag==1 (no latent match),4
12,7,latent_missing_flag==1 (no latent match),5
12,8,latent_missing_flag==1 (no latent match),6
12,9,latent_missing_flag==1 (no latent match),7
12,10,latent_missing_flag==1 (no latent match),8
13,2,latent_missing_flag==1 (no latent match),1
13,3,latent_missing_flag==1 (no latent match),2
13,4,latent_missing_flag==1 (no latent match),3
13,5,latent_missing_flag==1 (no latent match),4
13,6,latent_missing_flag==1 (no latent match),5
13,7,latent_missing_flag==1 (no latent match),6
13,8,latent_missing_flag==1 (no latent match),7
13,9,latent_missing_flag==1 (no latent match),8
13,10,latent_missing_flag==1 (no latent match),9
14,3,latent_missing_flag==1 (no latent match),1
14,4,latent_missing_flag==1 (no latent match),2
14,5,latent_missing_flag==1 (no latent match),3
14,6,latent_missing_flag==1 (no latent match),4
14,7,latent_missing_flag==1 (no latent match),5
14,8,latent_missing_flag==1 (no latent match),6
14,9,latent_missing_flag==1 (no latent match),8
14,10,latent_missing_flag==1 (no latent match),9
15,2,latent_missing_flag==1 (no latent match),1
15,3,latent_missing_flag==1 (no latent match),2
15,4,latent_missing_flag==1 (no latent match),4
15,5,latent_missing_flag==1 (no latent match),5
15,6,latent_missing_flag==1 (no latent match),5
15,7,latent_missing_flag==1 (no latent match),6
15,8,latent_missing_flag==1 (no latent match),6
15,9,latent_missing_flag==1 (no latent match),8
15,10,latent_missing_flag==1 (no latent match),10
16,3,latent_missing_flag==1 (no latent match),1
16,4,latent_missing_flag==1 (no latent match),2
16,5,latent_missing_flag==1 (no latent match),3
16,6,latent_missing_flag==1 (no latent match),4
16,7,latent_missing_flag==1 (no latent match),5
16,8,latent_missing_flag==1 (no latent match),6
16,9,latent_missing_flag==1 (no latent match),7
16,10,latent_missing_flag==1 (no latent match),8
17,3,latent_missing_flag==1 (no latent match),1
17,4,latent_missing_flag==1 (no latent match),2
17,5,latent_missing_flag==1 (no latent match),3
17,6,latent_missing_flag==1 (no latent match),4
17,7,latent_missing_flag==1 (no latent match),4
17,8,latent_missing_flag==1 (no latent match),5
17,9,latent_missing_flag==1 (no latent match),6
17,10,latent_missing_flag==1 (no latent match),7
17,11,latent_missing_flag==1 (no latent match),8
18,2,latent_missing_flag==1 (no latent match),12
18,3,latent_missing_flag==1 (no latent match),3
18,4,latent_missing_flag==1 (no latent match),3
18,5,latent_missing_flag==1 (no latent match),3
18,6,latent_missing_flag==1 (no latent match),4
18,7,latent_missing_flag==1 (no latent match),5
18,8,latent_missing_flag==1 (no latent match),6
18,9,latent_missing_flag==1 (no latent match),7
18,10,latent_missing_flag==1 (no latent match),8
19,2,latent_missing_flag==1 (no latent match),1
19,3,latent_missing_flag==1 (no latent match),2
19,4,latent_missing_flag==1 (no latent match),3
19,5,latent_missing_flag==1 (no latent match),4
19,6,latent_missing_flag==1 (no latent match),4
19,7,latent_missing_flag==1 (no latent match),5
19,8,latent_missing_flag==1 (no latent match),6
19,9,latent_missing_flag==1 (no latent match),7
19,10,latent_missing_flag==1 (no latent match),8
19,11,latent_missing_flag==1 (no latent match),9
20,3,latent_missing_flag==1 (no latent match),1
20,4,latent_missing_flag==1 (no latent match),2
20,5,latent_missing_flag==1 (no latent match),3
20,6,latent_missing_flag==1 (no latent match),4
20,7,latent_missing_flag==1 (no latent match),5
20,8,latent_missing_flag==1 (no latent match),6
20,9,latent_missing_flag==1 (no latent match),8
20,10,latent_missing_flag==1 (no latent match),9
21,3,latent_missing_flag==1 (no latent match),3
21,4,latent_missing_flag==1 (no latent match),3
21,5,latent_missing_flag==1 (no latent match),4
21,6,latent_missing_flag==1 (no latent match),4
21,7,latent_missing_flag==1 (no latent match),5
21,8,latent_missing_flag==1 (no latent match),6
21,9,latent_missing_flag==1 (no latent match),7
21,10,latent_missing_flag==1 (no latent match),9
21,11,latent_missing_flag==1 (no latent match),9
22,3,latent_missing_flag==1 (no latent match),1
22,4,latent_missing_flag==1 (no latent match),2
22,5,latent_missing_flag==1 (no latent match),3
22,6,latent_missing_flag==1 (no latent match),3
22,7,latent_missing_flag==1 (no latent match),4
22,8,latent_missing_flag==1 (no latent match),6
22,9,latent_missing_flag==1 (no latent match),7
22,10,latent_missing_flag==1 (no latent match),9
23,3,latent_missing_flag==1 (no latent match),1
23,4,latent_missing_flag==1 (no latent match),2
23,5,latent_missing_flag==1 (no latent match),4
23,6,latent_missing_flag==1 (no latent match),4
23,7,latent_missing_flag==1 (no latent match),5
23,8,latent_missing_flag==1 (no latent match),6
23,9,latent_missing_flag==1 (no latent match),7
23,10,latent_missing_flag==1 (no latent match),8
23,11,latent_missing_flag==1 (no latent match),9
24,3,latent_missing_flag==1 (no latent match),1
24,4,latent_missing_flag==1 (no latent match),2
24,5,latent_missing_flag==1 (no latent match),3
24,6,latent_missing_flag==1 (no latent match),4
24,7,latent_missing_flag==1 (no latent match),5
24,8,latent_missing_flag==1 (no latent match),7
24,9,latent_missing_flag==1 (no latent match),8
24,10,latent_missing_flag==1 (no latent match),9
25,3,latent_missing_flag==1 (no latent match),2
25,4,latent_missing_flag==1 (no latent match),2
25,5,latent_missing_flag==1 (no latent match),3
25,6,latent_missing_flag==1 (no latent match),4
25,7,latent_missing_flag==1 (no latent match),5
25,8,latent_missing_flag==1 (no latent match),7
25,9,latent_missing_flag==1 (no latent match),8
25,10,latent_missing_flag==1 (no latent match),9
26,2,latent_missing_flag==1 (no latent match),2
26,3,latent_missing_flag==1 (no latent match),4
26,4,latent_missing_flag==1 (no latent match),7
27,2,latent_missing_flag==1 (no latent match),1
27,3,latent_missing_flag==1 (no latent match),2
27,4,latent_missing_flag==1 (no latent match),3
27,5,latent_missing_flag==1 (no latent match),4
27,6,latent_missing_flag==1 (no latent match),4
27,7,latent_missing_flag==1 (no latent match),5
27,8,latent_missing_flag==1 (no latent match),7
27,9,latent_missing_flag==1 (no latent match),9
28,3,latent_missing_flag==1 (no latent match),2
28,4,latent_missing_flag==1 (no latent match),2
28,5,latent_missing_flag==1 (no latent match),3
28,6,latent_missing_flag==1 (no latent match),12
28,7,latent_missing_flag==1 (no latent match),4
28,8,latent_missing_flag==1 (no latent match),5
28,9,latent_missing_flag==1 (no latent match),6
28,10,latent_missing_flag==1 (no latent match),7
28,11,latent_missing_flag==1 (no latent match),8
29,3,latent_missing_flag==1 (no latent match),1
29,4,latent_missing_flag==1 (no latent match),2
29,5,latent_missing_flag==1 (no latent match),3
29,6,latent_missing_flag==1 (no latent match),4
29,7,latent_missing_flag==1 (no latent match),5
29,8,latent_missing_flag==1 (no latent match),7
29,9,latent_missing_flag==1 (no latent match),8
29,10,latent_missing_flag==1 (no latent match),9
29,11,latent_missing_flag==1 (no latent match),11
30,3,latent_missing_flag==1 (no latent match),1
30,4,latent_missing_flag==1 (no latent match),2
30,5,latent_missing_flag==1 (no latent match),4
30,6,latent_missing_flag==1 (no latent match),5
30,7,latent_missing_flag==1 (no latent match),6
30,8,latent_missing_flag==1 (no latent match),7
30,9,latent_missing_flag==1 (no latent match),9
30,10,latent_missing_flag==1 (no latent match),11
31,2,latent_missing_flag==1 (no latent match),1
31,3,latent_missing_flag==1 (no latent match),2
31,4,latent_missing_flag==1 (no latent match),3
31,5,latent_missing_flag==1 (no latent match),4
31,6,latent_missing_flag==1 (no latent match),6
31,7,latent_missing_flag==1 (no latent match),7
31,8,latent_missing_flag==1 (no latent match),8
31,9,latent_missing_flag==1 (no latent match),10
31,10,latent_missing_flag==1 (no latent match),12
32,2,latent_missing_flag==1 (no latent match),1
32,3,latent_missing_flag==1 (no latent match),2
32,4,latent_missing_flag==1 (no latent match),3
32,5,latent_missing_flag==1 (no latent match),4
32,6,latent_missing_flag==1 (no latent match),5
32,7,latent_missing_flag==1 (no latent match),6
32,8,latent_missing_flag==1 (no latent match),7
32,9,latent_missing_flag==1 (no latent match),8
32,10,latent_missing_flag==1 (no latent match),9
32,11,latent_missing_flag==1 (no latent match),9
33,3,latent_missing_flag==1 (no latent match),2
33,4,latent_missing_flag==1 (no latent match),4
33,5,latent_missing_flag==1 (no latent match),5
33,6,latent_missing_flag==1 (no latent match),6
33,7,latent_missing_flag==1 (no latent match),7
33,8,latent_missing_flag==1 (no latent match),8
33,9,latent_missing_flag==1 (no latent match),8
34,3,latent_missing_flag==1 (no latent match),2
34,4,latent_missing_flag==1 (no latent match),3
34,5,latent_missing_flag==1 (no latent match),4
34,6,latent_missing_flag==1 (no latent match),4
34,7,latent_missing_flag==1 (no latent match),5
34,8,latent_missing_flag==1 (no latent match),6
34,9,latent_missing_flag==1 (no latent match),7
34,10,latent_missing_flag==1 (no latent match),8
34,11,latent_missing_flag==1 (no latent match),9
