term,effect,se,ci_low,ci_high,outcome,factor_type,factor_level,effect_type
C(ballroom_partner)[T.Sharna Burgess],0.07072675989452652,0.13585799378531724,-0.19656093280212222,0.3380144525911753,do_well_main,pro_dancer,Sharna Burgess,raw_coef
C(ballroom_partner)[T.Tony Dovolani],0.06342877252971509,0.13601993184303524,-0.20417751790712718,0.3310350629665573,do_well_main,pro_dancer,Tony Dovolani,raw_coef
C(ballroom_partner)[T.Tristan MacManus],0.2493733327905486,0.18816089473255268,-0.12081534737113661,0.6195620129522338,do_well_main,pro_dancer,Tristan MacManus,raw_coef
C(ballroom_partner)[T.Tyne Stecklein],-0.177540668600093,0.33813752239068573,-0.8427941119623308,0.4877127747621448,do_well_main,pro_dancer,Tyne Stecklein,raw_coef
C(ballroom_partner)[T.Val Chmerkovskiy],-0.04196853325148409,0.33172990584556605,-0.6946155999529839,0.6106785334500158,do_well_main,pro_dancer,Val Chmerkovskiy,raw_coef
C(ballroom_partner)[T.Val Chmerkovskiy (Joey Graziadei week 9)],0.4285057450260265,0.35681661467659925,-0.27349703740461423,1.1305085274566673,do_well_main,pro_dancer,Val Chmerkovskiy (Joey Graziadei week 9),raw_coef
C(ballroom_partner)[T.Valentin Chmerkovskiy],0.1269717718377202,0.12661511956707605,-0.12213144415023433,0.3760749878256747,do_well_main,pro_dancer,Valentin Chmerkovskiy,raw_coef
C(ballroom_partner)[T.Witney Carson],0.10848809063338981,0.1321760937431424,-0.15155581360744147,0.3685319948742211,do_well_main,pro_dancer,Witney Carson,raw_coef
C(ballroom_partner)[T.Witney Carson (Xoshitl Gomez week 9)],0.4224639196365983,0.3462328520883098,-0.2587163156368744,1.103644154910071,do_well_main,pro_dancer,Witney Carson (Xoshitl Gomez week 9),raw_coef
C(celebrity_industry)[T.Fashion],-0.3512806562812944,0.0934091452229663,-0.5350542731865011,-0.16750703937608763,do_well_main,industry,Fashion,raw_coef
C(celebrity_industry)[T.Media],-0.033521062731778586,0.05034008949781655,-0.13256040518869888,0.06551827972514172,do_well_main,industry,Media,raw_coef
C(celebrity_industry)[T.Music],-0.04799454625157695,0.050836818597290286,-0.14801115600940723,0.052022063506253324,do_well_main,industry,Music,raw_coef
C(celebrity_industry)[T.Other],-0.036603053382854474,0.0758266274764686,-0.18578473742259038,0.11257863065688145,do_well_main,industry,Other,raw_coef
C(celebrity_industry)[T.Politics],0.0669111088189586,0.18943333670728268,-0.30578098001261605,0.4396031976505333,do_well_main,industry,Politics,raw_coef
C(celebrity_industry)[T.Social Media],-0.02404805354750851,0.12061908708527949,-0.26135464540802233,0.21325853831300529,do_well_main,industry,Social Media,raw_coef
C(celebrity_industry)[T.Sports],-0.040671644329961315,0.04728209562236089,-0.13369467442661945,0.05235138576669682,do_well_main,industry,Sports,raw_coef
C(season)[T.2],-0.037076493779741836,0.17522580783700226,-0.38181661964725944,0.3076636320877758,do_well_main,other,C(season)[T.2],raw_coef
C(season)[T.3],-0.07234360080197115,0.17458431582647893,-0.4158216520973656,0.2711344504934233,do_well_main,other,C(season)[T.3],raw_coef
C(season)[T.4],0.016437150426086775,0.1741968428039181,-0.32627858451752834,0.3591528853697019,do_well_main,other,C(season)[T.4],raw_coef
C(season)[T.5],-0.18723282869979274,0.1693412044756761,-0.5203955566457035,0.145929899246118,do_well_main,other,C(season)[T.5],raw_coef
C(season)[T.6],-0.22378537410672877,0.17308817743971183,-0.5643199152985825,0.1167491670851249,do_well_main,other,C(season)[T.6],raw_coef
C(season)[T.7],-0.2061941620941384,0.17200950109261137,-0.5446065100756423,0.13221818588736553,do_well_main,other,C(season)[T.7],raw_coef
C(season)[T.8],-0.24247350678204452,0.17063880356039646,-0.5781891376211649,0.0932421240570758,do_well_main,other,C(season)[T.8],raw_coef
C(season)[T.9],-0.2150440803142401,0.1651171497431307,-0.5398963819699575,0.10980822134147727,do_well_main,other,C(season)[T.9],raw_coef
C(season)[T.10],-0.1964612438567476,0.17376648533856986,-0.5383302913825471,0.14540780366905184,do_well_main,other,C(season)[T.10],raw_coef
C(season)[T.11],-0.27189520496509484,0.17405393381905196,-0.6143297800610911,0.07053937013090139,do_well_main,other,C(season)[T.11],raw_coef
C(season)[T.12],-0.164241406256349,0.17590071628842952,-0.5103093503680292,0.18182653785533112,do_well_main,other,C(season)[T.12],raw_coef
C(season)[T.13],-0.3263853877858707,0.17522705993844764,-0.6711279770439995,0.018357201472258222,do_well_main,other,C(season)[T.13],raw_coef
C(season)[T.14],-0.21192194701761258,0.17570462077605883,-0.557604091842925,0.13376019780769982,do_well_main,other,C(season)[T.14],raw_coef
C(season)[T.15],-0.2713236474291656,0.1718995915679916,-0.6095197588652703,0.06687246400693914,do_well_main,other,C(season)[T.15],raw_coef
C(season)[T.16],-0.1586499303790193,0.1765064834664769,-0.5059096638497231,0.18860980309168446,do_well_main,other,C(season)[T.16],raw_coef
C(season)[T.17],-0.21182353395664894,0.17948658316882296,-0.5649463304040131,0.14129926249071523,do_well_main,other,C(season)[T.17],raw_coef
C(season)[T.18],-0.12799227997244028,0.17852269603304274,-0.47921872007473876,0.2232341601298582,do_well_main,other,C(season)[T.18],raw_coef
C(season)[T.19],-0.18887225923684778,0.17871182929860258,-0.5404708010665099,0.16272628259281433,do_well_main,other,C(season)[T.19],raw_coef
C(season)[T.20],-0.19708327209954965,0.17831747189026986,-0.5479059532026236,0.1537394090035243,do_well_main,other,C(season)[T.20],raw_coef
C(season)[T.21],-0.13173611886913372,0.17523852505366874,-0.4765012646519732,0.21302902691370573,do_well_main,other,C(season)[T.21],raw_coef
C(season)[T.22],-0.11707798159887685,0.17698900641330598,-0.46528703311511965,0.23113106991736598,do_well_main,other,C(season)[T.22],raw_coef
C(season)[T.23],-0.2002988686613623,0.17840793155245135,-0.5512995205537357,0.1507017832310111,do_well_main,other,C(season)[T.23],raw_coef
C(season)[T.24],-0.18035975827677453,0.18247123913480293,-0.5393545817165342,0.17863506516298505,do_well_main,other,C(season)[T.24],raw_coef
C(season)[T.25],-0.18556354146729773,0.17771841720760065,-0.5352076394081413,0.16408055647354583,do_well_main,other,C(season)[T.25],raw_coef
C(season)[T.26],-0.26417292111330776,0.1899133869820162,-0.6378094632430422,0.1094636210164267,do_well_main,other,C(season)[T.26],raw_coef
C(season)[T.27],-0.19186676051436313,0.18057846368734454,-0.547137728124605,0.16340420709587883,do_well_main,other,C(season)[T.27],raw_coef
C(season)[T.28],-0.055447036260134856,0.1821779565850488,-0.41386485415279467,0.30297078163252494,do_well_main,other,C(season)[T.28],raw_coef
C(season)[T.29],-0.08098991439892607,0.17872663461366056,-0.43261758427907115,0.27063775548121904,do_well_main,other,C(season)[T.29],raw_coef
C(season)[T.30],-0.1596096414471988,0.1795539378775809,-0.5128649518835786,0.19364566898918106,do_well_main,other,C(season)[T.30],raw_coef
C(season)[T.31],-0.11153506758649627,0.17712212116172113,-0.46000600972085026,0.2369358745478577,do_well_main,other,C(season)[T.31],raw_coef
C(season)[T.32],-0.12995155635671563,0.18338883191629168,-0.49075165639865137,0.23084854368522012,do_well_main,other,C(season)[T.32],raw_coef
C(season)[T.33],-0.10318614497958091,0.18902422298011645,-0.47507334142950014,0.26870105147033835,do_well_main,other,C(season)[T.33],raw_coef
C(season)[T.34],-0.3341905729758088,0.20273932687204038,-0.7330609330381688,0.0646797870865512,do_well_main,other,C(season)[T.34],raw_coef
celebrity_age_during_season,-0.12784309162006732,0.019328082804086186,-0.1658692578618384,-0.08981692537829629,do_well_main,age_1sd,age_1sd,age_1sd_scaled
Intercept,0.6654823240409303,0.044434501968359325,0.5783527439667674,0.7526119041150933,judge_norm,other,Intercept,raw_coef
C(ballroom_partner)[T.Alan Bersten (Rashad Jennings week 9)],-0.07091668525531794,0.05496843790739854,-0.17870177792080402,0.03686840741016814,judge_norm,pro_dancer,Alan Bersten (Rashad Jennings week 9),raw_coef
C(ballroom_partner)[T.Alec Mazo],0.008669655155584507,0.0426428798941587,-0.0749468152389007,0.09228612555006971,judge_norm,pro_dancer,Alec Mazo,raw_coef
C(ballroom_partner)[T.Allison Holker],0.05525832209361169,0.0353850699090597,-0.01412664106557162,0.124643285252795,judge_norm,pro_dancer,Allison Holker,raw_coef
C(ballroom_partner)[T.Andrea Hale],-0.3697363234845774,0.14894420590475002,-0.6617941960854998,-0.07767845088365494,judge_norm,pro_dancer,Andrea Hale,raw_coef
C(ballroom_partner)[T.Anna Demidova],0.02923024322267109,0.062081053368151826,-0.092501651384372,0.15096213782971418,judge_norm,pro_dancer,Anna Demidova,raw_coef
C(ballroom_partner)[T.Anna Trebunskaya],0.014990888627461127,0.0307904309670219,-0.045384657437383784,0.07536643469230604,judge_norm,pro_dancer,Anna Trebunskaya,raw_coef
C(ballroom_partner)[T.Artem Chigvintsev],0.12129820548874798,0.025669762567840766,0.07096354359173708,0.1716328673857589,judge_norm,pro_dancer,Artem Chigvintsev,raw_coef
C(ballroom_partner)[T.Ashly DelGrosso],-0.12330107602769097,0.04691424820259544,-0.21529307693495628,-0.03130907512042566,judge_norm,pro_dancer,Ashly DelGrosso,raw_coef
C(ballroom_partner)[T.Brandon Armstrong],0.06141600475848414,0.028819006523985825,0.004906134604488563,0.11792587491247972,judge_norm,pro_dancer,Brandon Armstrong,raw_coef
C(ballroom_partner)[T.Brian Fortuna],-0.01648306229571191,0.09002883524961607,-0.1930164825521307,0.16005035796070685,judge_norm,pro_dancer,Brian Fortuna,raw_coef
C(ballroom_partner)[T.Britt Stewart],-0.024746447241205984,0.0334696498143298,-0.0903755508514679,0.04088265636905592,judge_norm,pro_dancer,Britt Stewart,raw_coef
C(ballroom_partner)[T.Charlotte Jorgensen],0.2288089305552166,0.07389717667681826,0.08390734086029472,0.37371052025013846,judge_norm,pro_dancer,Charlotte Jorgensen,raw_coef
C(ballroom_partner)[T.Chelsie Hightower],0.013738138731751247,0.03192975793391202,-0.04887146140807785,0.07634773887158033,judge_norm,pro_dancer,Chelsie Hightower,raw_coef
C(ballroom_partner)[T.Cheryl Burke],0.048086423073963616,0.023660007275437902,0.0016925982950007287,0.0944802478529265,judge_norm,pro_dancer,Cheryl Burke,raw_coef
C(ballroom_partner)[T.Corky Ballas],0.10759872723552198,0.052852960670225387,0.003961777008148454,0.2112356774628955,judge_norm,pro_dancer,Corky Ballas,raw_coef
C(ballroom_partner)[T.Damian Whitewood],0.05978424158031088,0.06570899529770474,-0.06906151821825571,0.18863000137887745,judge_norm,pro_dancer,Damian Whitewood,raw_coef
C(ballroom_partner)[T.Daniella Karagach],-0.04826689875871594,0.029793333743636678,-0.10668728253934012,0.010153485021908236,judge_norm,pro_dancer,Daniella Karagach,raw_coef
C(ballroom_partner)[T.Daniella Karagach (Rumer Willis week 9)],-0.037962789799909816,0.05473153949544689,-0.1452833592179365,0.06935777961811686,judge_norm,pro_dancer,Daniella Karagach (Rumer Willis week 9),raw_coef
C(ballroom_partner)[T.Derek Hough],0.04765456252039536,0.02435525427130498,-0.00010254025459089516,0.09541166529538161,judge_norm,pro_dancer,Derek Hough,raw_coef
C(ballroom_partner)[T.Dmitry Chaplin],0.02612520339827556,0.04165231500627138,-0.05554891366952468,0.10779932046607581,judge_norm,pro_dancer,Dmitry Chaplin,raw_coef
C(ballroom_partner)[T.Edyta Sliwinska],0.013218621991655905,0.030541291871593747,-0.04666839863005094,0.07310564261336275,judge_norm,pro_dancer,Edyta Sliwinska,raw_coef
C(ballroom_partner)[T.Elena Grinenko],0.0055319465038126455,0.06564028141056168,-0.12317907538014197,0.13424296838776725,judge_norm,pro_dancer,Elena Grinenko,raw_coef
C(ballroom_partner)[T.Emma Slater],0.026789481177667565,0.024726556704708358,-0.02169569153553895,0.07527465389087408,judge_norm,pro_dancer,Emma Slater,raw_coef
C(ballroom_partner)[T.Emma Slater/Kaitlyn Bristowe (week 9)],-0.42485716399314516,0.05875549497934298,-0.5400681234463443,-0.30964620453994607,judge_norm,pro_dancer,Emma Slater/Kaitlyn Bristowe (week 9),raw_coef
C(ballroom_partner)[T.Ezra Sosa],-0.2568804486888815,0.10640300640212176,-0.46552123131871437,-0.04823966605904864,judge_norm,pro_dancer,Ezra Sosa,raw_coef
C(ballroom_partner)[T.Ezra Sosa (Apolo Anton Ohno week 9)],0.11451663471056736,0.05502101851183719,0.00662843914571612,0.2224048302754186,judge_norm,pro_dancer,Ezra Sosa (Apolo Anton Ohno week 9),raw_coef
C(ballroom_partner)[T.Fabian Sanchez],0.03367644052504499,0.06568275412716325,-0.09511786416389614,0.1624707452139861,judge_norm,pro_dancer,Fabian Sanchez,raw_coef
C(ballroom_partner)[T.Gleb Savchenko],0.036452581679205544,0.02565408317343902,-0.01385133521134587,0.08675649856975695,judge_norm,pro_dancer,Gleb Savchenko,raw_coef
C(ballroom_partner)[T.Henry Byalikov],0.09354476628866158,0.14787979763664705,-0.1964259568828981,0.3835154894602213,judge_norm,pro_dancer,Henry Byalikov,raw_coef
C(ballroom_partner)[T.Inna Brayer],0.036305240996570336,0.1479209324823796,-0.2537461416102554,0.32635662360339607,judge_norm,pro_dancer,Inna Brayer,raw_coef
C(ballroom_partner)[T.Jan Ravnik],-0.1107908513109582,0.06388878280124212,-0.23606743978010464,0.014485737158188239,judge_norm,pro_dancer,Jan Ravnik,raw_coef
C(ballroom_partner)[T.Jenna Johnson],0.1144056554484435,0.02703120754305242,0.06140139844561284,0.16740991245127415,judge_norm,pro_dancer,Jenna Johnson,raw_coef
C(ballroom_partner)[T.Jesse DeSoto],-0.011565951162057326,0.10866416697183404,-0.22464054000534958,0.20150863768123492,judge_norm,pro_dancer,Jesse DeSoto,raw_coef
C(ballroom_partner)[T.Jonathan Roberts],0.09854764739946299,0.03797985616542717,0.024074686695927897,0.17302060810299807,judge_norm,pro_dancer,Jonathan Roberts,raw_coef
C(ballroom_partner)[T.Julianne Hough],0.02848539547925612,0.03334798845938752,-0.03690514795146506,0.0938759389099773,judge_norm,pro_dancer,Julianne Hough,raw_coef
C(ballroom_partner)[T.Karina Smirnoff],0.03808894586660322,0.025821749249434305,-0.01254373975425948,0.08872163148746592,judge_norm,pro_dancer,Karina Smirnoff,raw_coef
C(ballroom_partner)[T.Keo Motsepe],0.03835507666705169,0.032025631453253836,-0.02444251746641849,0.10115267080052187,judge_norm,pro_dancer,Keo Motsepe,raw_coef
C(ballroom_partner)[T.Koko Iwasaki],-0.37777965315442824,0.05369928663754658,-0.4830761252144323,-0.2724831810944242,judge_norm,pro_dancer,Koko Iwasaki,raw_coef
C(ballroom_partner)[T.Kym Herjavec],0.07788294124007397,0.07782969694934011,-0.07472974737122476,0.2304956298513727,judge_norm,pro_dancer,Kym Herjavec,raw_coef
C(ballroom_partner)[T.Kym Johnson],0.05487996007312142,0.027368224199547056,0.0012148625419264383,0.1085450576043164,judge_norm,pro_dancer,Kym Johnson,raw_coef
C(ballroom_partner)[T.Lacey Schwimmer],0.022988946530584205,0.03259565300927996,-0.040926376768504684,0.08690426982967309,judge_norm,pro_dancer,Lacey Schwimmer,raw_coef
C(ballroom_partner)[T.Lindsay Arnold],0.012645279892622197,0.026655228929778244,-0.039621737865020754,0.06491229765026514,judge_norm,pro_dancer,Lindsay Arnold,raw_coef
C(ballroom_partner)[T.Louis van Amstel],0.004584082451022796,0.02906184889413011,-0.05240196618585423,0.061570131087899826,judge_norm,pro_dancer,Louis van Amstel,raw_coef
C(ballroom_partner)[T.Maksim Chmerkoskiy],0.043185638860395774,0.025778974666894626,-0.007363172040386036,0.09373444976117759,judge_norm,pro_dancer,Maksim Chmerkoskiy,raw_coef
C(ballroom_partner)[T.Mark Ballas],0.0647947343667417,0.02370386252533619,0.018314915836562556,0.11127455289692084,judge_norm,pro_dancer,Mark Ballas,raw_coef
C(ballroom_partner)[T.Nick Kosovich],0.006525284393818193,0.06526711299638789,-0.12145400863567427,0.13450457742331065,judge_norm,pro_dancer,Nick Kosovich,raw_coef
C(ballroom_partner)[T.Pasha Pashkov],-0.0065882834176892256,0.03158463882853516,-0.06852115530818476,0.05534458847280631,judge_norm,pro_dancer,Pasha Pashkov,raw_coef
C(ballroom_partner)[T.Peta Murgatroyd],0.008701292578161414,0.025380000774192696,-0.04106518868704967,0.0584677738433725,judge_norm,pro_dancer,Peta Murgatroyd,raw_coef
C(ballroom_partner)[T.Rylee Arnold],-0.17507880698366468,0.03675823265369748,-0.24715634208613138,-0.10300127188119798,judge_norm,pro_dancer,Rylee Arnold,raw_coef
C(ballroom_partner)[T.Sasha Farber],0.07264794259901122,0.024226643054232336,0.025143027669954812,0.12015285752806763,judge_norm,pro_dancer,Sasha Farber,raw_coef
C(ballroom_partner)[T.Sharna Burgess],0.0311729134114095,0.02562738758088695,-0.019078657314205737,0.08142448413702474,judge_norm,pro_dancer,Sharna Burgess,raw_coef
C(ballroom_partner)[T.Tony Dovolani],0.06175929294254694,0.02598483660858071,0.010806816787563948,0.11271176909752992,judge_norm,pro_dancer,Tony Dovolani,raw_coef
C(ballroom_partner)[T.Tristan MacManus],0.0795843718318282,0.040571665694030035,2.925051309853044e-05,0.15913949315055786,judge_norm,pro_dancer,Tristan MacManus,raw_coef
C(ballroom_partner)[T.Tyne Stecklein],0.05855526613601616,0.0883269973649773,-0.11464109814645551,0.23175163041848784,judge_norm,pro_dancer,Tyne Stecklein,raw_coef
C(ballroom_partner)[T.Val Chmerkovskiy],-0.013523244985661376,0.06988639937502557,-0.15056028513921513,0.12351379516789238,judge_norm,pro_dancer,Val Chmerkovskiy,raw_coef
C(ballroom_partner)[T.Val Chmerkovskiy (Joey Graziadei week 9)],0.055353264353077226,0.05725203301640335,-0.05690962538659868,0.16761615409275313,judge_norm,pro_dancer,Val Chmerkovskiy (Joey Graziadei week 9),raw_coef
C(ballroom_partner)[T.Valentin Chmerkovskiy],0.08771012933715003,0.0230748203471676,0.04246377080775572,0.13295648786654435,judge_norm,pro_dancer,Valentin Chmerkovskiy,raw_coef
C(ballroom_partner)[T.Witney Carson],0.06277461249067241,0.02414711766847491,0.015425635248758632,0.1101235897325862,judge_norm,pro_dancer,Witney Carson,raw_coef
C(ballroom_partner)[T.Witney Carson (Xoshitl Gomez week 9)],0.15322838782092993,0.05602063728206257,0.043380085586130906,0.263076690055729,judge_norm,pro_dancer,Witney Carson (Xoshitl Gomez week 9),raw_coef
C(celebrity_industry)[T.Fashion],-0.0181417132030241,0.020923913766124017,-0.05917045751636331,0.022887031110315106,judge_norm,industry,Fashion,raw_coef
C(celebrity_industry)[T.Media],0.012417940789254872,0.009304193207778673,-0.0058262255952337486,0.030662107173743493,judge_norm,industry,Media,raw_coef
