season,week,celebrity_name,latent_missing_flag
4,3,Apolo Anton Ohno,0
4,4,Apolo Anton Ohno,0
4,5,Apolo Anton Ohno,0
4,6,Apolo Anton Ohno,0
4,7,Apolo Anton Ohno,0
4,8,Apolo Anton Ohno,0
4,9,Apolo Anton Ohno,0
4,10,Apolo Anton Ohno,0
4,1,Billy Ray Cyrus,0
4,2,Billy Ray Cyrus,0
4,3,Billy Ray Cyrus,0
4,4,Billy Ray Cyrus,0
4,5,Billy Ray Cyrus,0
4,6,Billy Ray Cyrus,0
4,7,Billy Ray Cyrus,0
4,8,Billy Ray Cyrus,0
4,9,Billy Ray Cyrus,1
4,10,Billy Ray Cyrus,1
4,1,Clyde Drexler,0
4,2,Clyde Drexler,0
4,3,Clyde Drexler,0
4,4,Clyde Drexler,0
4,5,Clyde Drexler,0
4,6,Clyde Drexler,1
4,7,Clyde Drexler,1
4,8,Clyde Drexler,1
4,9,Clyde Drexler,1
4,10,Clyde Drexler,1
4,1,Heather Mills,0
4,2,Heather Mills,0
4,3,Heather Mills,0
4,4,Heather Mills,0
4,5,Heather Mills,0
4,6,Heather Mills,0
4,7,Heather Mills,1
4,8,Heather Mills,1
4,9,Heather Mills,1
4,10,Heather Mills,1
4,1,Ian Ziering,0
4,2,Ian Ziering,0
4,3,Ian Ziering,0
4,4,Ian Ziering,0
4,5,Ian Ziering,0
4,6,Ian Ziering,0
4,7,Ian Ziering,0
4,8,Ian Ziering,0
4,9,Ian Ziering,0
4,10,Ian Ziering,1
4,1,Joey Fatone,0
4,2,Joey Fatone,0
4,3,Joey Fatone,0
4,4,Joey Fatone,0
4,5,Joey Fatone,0
4,6,Joey Fatone,0
4,7,Joey Fatone,0
4,8,Joey Fatone,0
4,9,Joey Fatone,0
4,10,Joey Fatone,0
4,1,John Ratzenberger,0
4,2,John Ratzenberger,0
4,3,John Ratzenberger,0
4,4,John Ratzenberger,0
4,5,John Ratzenberger,0
4,6,John Ratzenberger,0
4,7,John Ratzenberger,0
4,8,John Ratzenberger,1
4,9,John Ratzenberger,1
4,10,John Ratzenberger,1
4,1,Laila Ali,0
4,2,Laila Ali,0
4,3,Laila Ali,0
4,4,Laila Ali,0
4,5,Laila Ali,0
4,6,Laila Ali,0
4,7,Laila Ali,0
4,8,Laila Ali,0
4,9,Laila Ali,0
4,10,Laila Ali,0
4,1,Leeza Gibbons,0
4,2,Leeza Gibbons,0
4,3,Leeza Gibbons,0
4,4,Leeza Gibbons,0
4,5,Leeza Gibbons,1
4,6,Leeza Gibbons,1
4,7,Leeza Gibbons,1
4,8,Leeza Gibbons,1
4,9,Leeza Gibbons,1
4,10,Leeza Gibbons,1
4,1,Paulina Porizkova,0
4,2,Paulina Porizkova,0
4,3,Paulina Porizkova,1
4,4,Paulina Porizkova,1
4,5,Paulina Porizkova,1
4,6,Paulina Porizkova,1
4,7,Paulina Porizkova,1
4,8,Paulina Porizkova,1
4,9,Paulina Porizkova,1
4,10,Paulina Porizkova,1
4,1,Shandi Finnessey,0
4,2,Shandi Finnessey,0
4,3,Shandi Finnessey,0
4,4,Shandi Finnessey,1
4,5,Shandi Finnessey,1
4,6,Shandi Finnessey,1
4,7,Shandi Finnessey,1
4,8,Shandi Finnessey,1
4,9,Shandi Finnessey,1
4,10,Shandi Finnessey,1
5,1,Albert Reed,0
5,2,Albert Reed,0
5,3,Albert Reed,1
5,4,Albert Reed,1
5,5,Albert Reed,1
5,6,Albert Reed,1
5,7,Albert Reed,1
5,8,Albert Reed,1
5,9,Albert Reed,1
5,10,Albert Reed,1
5,1,Cameron Mathison,0
5,2,Cameron Mathison,0
5,3,Cameron Mathison,0
5,4,Cameron Mathison,0
5,5,Cameron Mathison,0
5,6,Cameron Mathison,0
5,7,Cameron Mathison,0
5,8,Cameron Mathison,0
5,9,Cameron Mathison,1
5,10,Cameron Mathison,1
5,1,Floyd Mayweather Jr. ,0
5,2,Floyd Mayweather Jr. ,0
5,3,Floyd Mayweather Jr. ,0
5,4,Floyd Mayweather Jr. ,0
5,5,Floyd Mayweather Jr. ,1
5,6,Floyd Mayweather Jr. ,1
5,7,Floyd Mayweather Jr. ,1
5,8,Floyd Mayweather Jr. ,1
5,9,Floyd Mayweather Jr. ,1
5,10,Floyd Mayweather Jr. ,1
5,1,Helio Castroneves,0
5,2,Helio Castroneves,0
5,3,Helio Castroneves,0
5,4,Helio Castroneves,0
5,5,Helio Castroneves,0
5,6,Helio Castroneves,0
5,7,Helio Castroneves,0
5,8,Helio Castroneves,0
5,9,Helio Castroneves,0
5,10,Helio Castroneves,0
5,1,Jane Seymour,0
5,2,Jane Seymour,0
5,3,Jane Seymour,0
5,4,Jane Seymour,0
5,5,Jane Seymour,0
5,6,Jane Seymour,0
5,7,Jane Seymour,0
5,8,Jane Seymour,1
5,9,Jane Seymour,1
5,10,Jane Seymour,1
5,1,Jennie Garth,0
5,2,Jennie Garth,0
5,3,Jennie Garth,0
5,4,Jennie Garth,0
5,5,Jennie Garth,0
5,6,Jennie Garth,0
5,7,Jennie Garth,0
5,8,Jennie Garth,0
5,9,Jennie Garth,0
5,10,Jennie Garth,1
5,1,Josie Maran,0
5,2,Josie Maran,1
5,3,Josie Maran,1
5,4,Josie Maran,1
5,5,Josie Maran,1
5,6,Josie Maran,1
5,7,Josie Maran,1
5,8,Josie Maran,1
5,9,Josie Maran,1
5,10,Josie Maran,1
5,1,Marie Osmond,0
5,2,Marie Osmond,0
5,3,Marie Osmond,0
5,4,Marie Osmond,0
5,5,Marie Osmond,0
5,6,Marie Osmond,0
5,7,Marie Osmond,0
5,8,Marie Osmond,0
5,9,Marie Osmond,0
5,10,Marie Osmond,0
5,1,Mark Cuban,0
5,2,Mark Cuban,0
5,3,Mark Cuban,0
5,4,Mark Cuban,0
5,5,Mark Cuban,0
5,6,Mark Cuban,1
5,7,Mark Cuban,1
5,8,Mark Cuban,1
5,9,Mark Cuban,1
5,10,Mark Cuban,1
5,1,Mel B,0
5,2,Mel B,0
5,3,Mel B,0
5,4,Mel B,0
5,5,Mel B,0
5,6,Mel B,0
5,7,Mel B,0
5,8,Mel B,0
5,9,Mel B,0
5,10,Mel B,0
5,1,Sabrina Bryan,0
5,2,Sabrina Bryan,0
5,3,Sabrina Bryan,0
5,4,Sabrina Bryan,0
5,5,Sabrina Bryan,0
5,6,Sabrina Bryan,0
5,7,Sabrina Bryan,1
5,8,Sabrina Bryan,1
5,9,Sabrina Bryan,1
5,10,Sabrina Bryan,1
5,1,Wayne Newton,0
5,2,Wayne Newton,0
5,3,Wayne Newton,0
5,4,Wayne Newton,1
5,5,Wayne Newton,1
5,6,Wayne Newton,1
5,7,Wayne Newton,1
5,8,Wayne Newton,1
5,9,Wayne Newton,1
5,10,Wayne Newton,1
6,1,Adam Carolla,0
6,2,Adam Carolla,0
6,3,Adam Carolla,0
6,4,Adam Carolla,0
6,5,Adam Carolla,1
6,6,Adam Carolla,1
6,7,Adam Carolla,1
6,8,Adam Carolla,1
6,9,Adam Carolla,1
6,10,Adam Carolla,1
6,1,Cristian de la Fuente,0
6,2,Cristian de la Fuente,0
6,3,Cristian de la Fuente,0
6,4,Cristian de la Fuente,0
6,5,Cristian de la Fuente,0
6,6,Cristian de la Fuente,0
6,7,Cristian de la Fuente,0
6,8,Cristian de la Fuente,0
6,9,Cristian de la Fuente,0
6,10,Cristian de la Fuente,0
6,1,Jason Taylor,0
6,2,Jason Taylor,0
6,3,Jason Taylor,0
6,4,Jason Taylor,0
6,5,Jason Taylor,0
6,6,Jason Taylor,0
6,7,Jason Taylor,0
6,8,Jason Taylor,0
6,9,Jason Taylor,0
6,10,Jason Taylor,0
6,1,Kristi Yamaguchi,0
6,2,Kristi Yamaguchi,0
6,3,Kristi Yamaguchi,0
6,4,Kristi Yamaguchi,0
6,5,Kristi Yamaguchi,0
6,6,Kristi Yamaguchi,0
6,7,Kristi Yamaguchi,0
6,8,Kristi Yamaguchi,0
6,9,Kristi Yamaguchi,0
6,10,Kristi Yamaguchi,0
6,1,Mario,0
6,2,Mario,0
6,3,Mario,0
6,4,Mario,0
6,5,Mario,0
6,6,Mario,0
6,7,Mario,0
6,8,Mario,0
6,9,Mario,1
6,10,Mario,1
6,1,Marissa Jaret Winokur,0
6,2,Marissa Jaret Winokur,0
6,3,Marissa Jaret Winokur,0
6,4,Marissa Jaret Winokur,0
6,5,Marissa Jaret Winokur,0
6,6,Marissa Jaret Winokur,0
6,7,Marissa Jaret Winokur,0
6,8,Marissa Jaret Winokur,0
6,9,Marissa Jaret Winokur,0
6,10,Marissa Jaret Winokur,1
6,1,Marlee Matlin,0
6,2,Marlee Matlin,0
6,3,Marlee Matlin,0
6,4,Marlee Matlin,0
6,5,Marlee Matlin,0
6,6,Marlee Matlin,0
6,7,Marlee Matlin,1
6,8,Marlee Matlin,1
6,9,Marlee Matlin,1
6,10,Marlee Matlin,1
6,1,Monica Seles,0
6,2,Monica Seles,0
6,3,Monica Seles,1
6,4,Monica Seles,1
6,5,Monica Seles,1
6,6,Monica Seles,1
6,7,Monica Seles,1
6,8,Monica Seles,1
6,9,Monica Seles,1
6,10,Monica Seles,1
6,1,Penn Jillette,0
6,2,Penn Jillette,0
6,3,Penn Jillette,1
6,4,Penn Jillette,1
6,5,Penn Jillette,1
6,6,Penn Jillette,1
6,7,Penn Jillette,1
6,8,Penn Jillette,1
6,9,Penn Jillette,1
6,10,Penn Jillette,1
6,1,Priscilla Presley,0
6,2,Priscilla Presley,0
6,3,Priscilla Presley,0
6,4,Priscilla Presley,0
6,5,Priscilla Presley,0
6,6,Priscilla Presley,1
6,7,Priscilla Presley,1
6,8,Priscilla Presley,1
6,9,Priscilla Presley,1
6,10,Priscilla Presley,1
6,1,Shannon Elizabeth,0
6,2,Shannon Elizabeth,0
6,3,Shannon Elizabeth,0
6,4,Shannon Elizabeth,0
6,5,Shannon Elizabeth,0
6,6,Shannon Elizabeth,0
6,7,Shannon Elizabeth,0
6,8,Shannon Elizabeth,1
6,9,Shannon Elizabeth,1
6,10,Shannon Elizabeth,1
6,1,Steve Guttenberg,0
6,2,Steve Guttenberg,0
6,3,Steve Guttenberg,0
6,4,Steve Guttenberg,1
6,5,Steve Guttenberg,1
6,6,Steve Guttenberg,1
6,7,Steve Guttenberg,1
6,8,Steve Guttenberg,1
6,9,Steve Guttenberg,1
6,10,Steve Guttenberg,1
7,1,Brooke Burke,0
7,2,Brooke Burke,0
7,3,Brooke Burke,0
7,4,Brooke Burke,0
7,5,Brooke Burke,0
7,6,Brooke Burke,0
7,7,Brooke Burke,0
7,8,Brooke Burke,0
7,9,Brooke Burke,0
7,10,Brooke Burke,0
7,1,Cloris Leachman,0
7,2,Cloris Leachman,0
7,3,Cloris Leachman,0
7,4,Cloris Leachman,0
7,5,Cloris Leachman,0
7,6,Cloris Leachman,0
7,7,Cloris Leachman,1
7,8,Cloris Leachman,1
7,9,Cloris Leachman,1
7,10,Cloris Leachman,1
7,1,Cody Linley,0
7,2,Cody Linley,0
7,3,Cody Linley,0
7,4,Cody Linley,0
7,5,Cody Linley,0
7,6,Cody Linley,0
7,7,Cody Linley,0
7,8,Cody Linley,0
7,9,Cody Linley,0
7,10,Cody Linley,1
7,1,Jeffrey Ross,0
7,2,Jeffrey Ross,1
7,3,Jeffrey Ross,1
7,4,Jeffrey Ross,1
7,5,Jeffrey Ross,1
7,6,Jeffrey Ross,1
7,7,Jeffrey Ross,1
7,8,Jeffrey Ross,1
7,9,Jeffrey Ross,1
7,10,Jeffrey Ross,1
7,1,Kim Kardashian,0
7,2,Kim Kardashian,0
7,3,Kim Kardashian,1
7,4,Kim Kardashian,1
7,5,Kim Kardashian,1
7,6,Kim Kardashian,1
7,7,Kim Kardashian,1
7,8,Kim Kardashian,1
7,9,Kim Kardashian,1
7,10,Kim Kardashian,1
7,1,Lance Bass,0
7,2,Lance Bass,0
7,3,Lance Bass,0
7,4,Lance Bass,0
7,5,Lance Bass,0
7,6,Lance Bass,0
7,7,Lance Bass,0
7,8,Lance Bass,0
7,9,Lance Bass,0
7,10,Lance Bass,0
7,1,Maurice Greene,0
7,2,Maurice Greene,0
7,3,Maurice Greene,0
7,4,Maurice Greene,0
7,5,Maurice Greene,0
7,6,Maurice Greene,0
7,7,Maurice Greene,0
7,8,Maurice Greene,0
7,9,Maurice Greene,1
7,10,Maurice Greene,1
7,1,Misty May-Treanor,0
7,2,Misty May-Treanor,0
7,3,Misty May-Treanor,1
7,4,Misty May-Treanor,1
7,5,Misty May-Treanor,1
7,6,Misty May-Treanor,1
7,7,Misty May-Treanor,1
7,8,Misty May-Treanor,1
7,9,Misty May-Treanor,1
7,10,Misty May-Treanor,1
7,1,Rocco DiSpirito,0
7,2,Rocco DiSpirito,0
7,3,Rocco DiSpirito,0
7,4,Rocco DiSpirito,0
7,5,Rocco DiSpirito,1
7,6,Rocco DiSpirito,1
7,7,Rocco DiSpirito,1
7,8,Rocco DiSpirito,1
7,9,Rocco DiSpirito,1
7,10,Rocco DiSpirito,1
7,1,Susan Lucci,0
7,2,Susan Lucci,0
7,3,Susan Lucci,0
7,4,Susan Lucci,0
7,5,Susan Lucci,0
7,6,Susan Lucci,0
7,7,Susan Lucci,0
7,8,Susan Lucci,1
7,9,Susan Lucci,1
7,10,Susan Lucci,1
7,1,Ted McGinley,0
7,2,Ted McGinley,1
7,3,Ted McGinley,1
7,4,Ted McGinley,1
7,5,Ted McGinley,1
7,6,Ted McGinley,1
7,7,Ted McGinley,1
7,8,Ted McGinley,1
7,9,Ted McGinley,1
7,10,Ted McGinley,1
7,1,Toni Braxton,0
7,2,Toni Braxton,0
7,3,Toni Braxton,0
7,4,Toni Braxton,0
7,5,Toni Braxton,0
7,6,Toni Braxton,1
7,7,Toni Braxton,1
7,8,Toni Braxton,1
7,9,Toni Braxton,1
7,10,Toni Braxton,1
7,1,Warren Sapp,0
7,2,Warren Sapp,0
7,3,Warren Sapp,0
7,4,Warren Sapp,0
7,5,Warren Sapp,0
7,6,Warren Sapp,0
7,7,Warren Sapp,0
7,8,Warren Sapp,0
7,9,Warren Sapp,0
7,10,Warren Sapp,0
8,1,Belinda Carlisle,0
8,2,Belinda Carlisle,0
8,3,Belinda Carlisle,1
8,4,Belinda Carlisle,1
8,5,Belinda Carlisle,1
8,6,Belinda Carlisle,1
8,7,Belinda Carlisle,1
8,8,Belinda Carlisle,1
8,9,Belinda Carlisle,1
8,10,Belinda Carlisle,1
8,11,Belinda Carlisle,1
8,1,Chuck Wicks,0
8,2,Chuck Wicks,0
8,3,Chuck Wicks,0
8,4,Chuck Wicks,0
8,5,Chuck Wicks,0
8,6,Chuck Wicks,0
8,7,Chuck Wicks,0
8,8,Chuck Wicks,0
8,9,Chuck Wicks,1
8,10,Chuck Wicks,1
8,11,Chuck Wicks,1
8,1,David Alan Grier,0
8,2,David Alan Grier,0
8,3,David Alan Grier,0
8,4,David Alan Grier,0
8,5,David Alan Grier,0
8,6,David Alan Grier,1
8,7,David Alan Grier,1
8,8,David Alan Grier,1
8,9,David Alan Grier,1
8,10,David Alan Grier,1
8,11,David Alan Grier,1
8,1,Denise Richards,0
8,2,Denise Richards,0
8,3,Denise Richards,0
8,4,Denise Richards,1
8,5,Denise Richards,1
8,6,Denise Richards,1
8,7,Denise Richards,1
8,8,Denise Richards,1
8,9,Denise Richards,1
8,10,Denise Richards,1
8,11,Denise Richards,1
8,1,Gilles Marini,0
8,2,Gilles Marini,0
8,3,Gilles Marini,0
8,4,Gilles Marini,0
8,5,Gilles Marini,0
8,6,Gilles Marini,0
8,7,Gilles Marini,0
8,8,Gilles Marini,0
8,9,Gilles Marini,0
8,10,Gilles Marini,0
8,11,Gilles Marini,0
8,1,Holly Madison,0
8,2,Holly Madison,0
8,3,Holly Madison,0
8,4,Holly Madison,0
8,5,Holly Madison,1
8,6,Holly Madison,1
8,7,Holly Madison,1
8,8,Holly Madison,1
8,9,Holly Madison,1
8,10,Holly Madison,1
8,11,Holly Madison,1
8,1,Lawrence Taylor,0
8,2,Lawrence Taylor,0
8,3,Lawrence Taylor,0
8,4,Lawrence Taylor,0
8,5,Lawrence Taylor,0
8,6,Lawrence Taylor,0
8,7,Lawrence Taylor,0
8,8,Lawrence Taylor,1
8,9,Lawrence Taylor,1
8,10,Lawrence Taylor,1
8,11,Lawrence Taylor,1
8,1,Lil' Kim,0
8,2,Lil' Kim,0
8,3,Lil' Kim,0
8,4,Lil' Kim,0
8,5,Lil' Kim,0
8,6,Lil' Kim,0
8,7,Lil' Kim,0
8,8,Lil' Kim,0
8,9,Lil' Kim,0
8,10,Lil' Kim,1
8,11,Lil' Kim,1
8,1,Melissa Rycroft,0
8,2,Melissa Rycroft,0
8,3,Melissa Rycroft,0
8,4,Melissa Rycroft,0
8,5,Melissa Rycroft,0
8,6,Melissa Rycroft,0
8,7,Melissa Rycroft,0
8,8,Melissa Rycroft,0
8,9,Melissa Rycroft,0
8,10,Melissa Rycroft,0
8,11,Melissa Rycroft,0
8,1,Shawn Johnson,0
8,2,Shawn Johnson,0
8,3,Shawn Johnson,0
8,4,Shawn Johnson,0
8,5,Shawn Johnson,0
8,6,Shawn Johnson,0
8,7,Shawn Johnson,0
8,8,Shawn Johnson,0
8,9,Shawn Johnson,0
8,10,Shawn Johnson,0
8,11,Shawn Johnson,0
8,1,Steve Wozniak,0
8,2,Steve Wozniak,0
8,3,Steve Wozniak,0
8,4,Steve Wozniak,0
8,5,Steve Wozniak,1
8,6,Steve Wozniak,1
8,7,Steve Wozniak,1
8,8,Steve Wozniak,1
8,9,Steve Wozniak,1
8,10,Steve Wozniak,1
8,11,Steve Wozniak,1
8,1,Steve-O,0
8,2,Steve-O,0
8,3,Steve-O,0
8,4,Steve-O,0
8,5,Steve-O,0
8,6,Steve-O,0
8,7,Steve-O,1
8,8,Steve-O,1
8,9,Steve-O,1
8,10,Steve-O,1
8,11,Steve-O,1
8,1,Ty Murray,0
8,2,Ty Murray,0
8,3,Ty Murray,0
8,4,Ty Murray,0
8,5,Ty Murray,0
8,6,Ty Murray,0
8,7,Ty Murray,0
8,8,Ty Murray,0
8,9,Ty Murray,0
8,10,Ty Murray,0
8,11,Ty Murray,1
9,1,Aaron Carter,0
9,2,Aaron Carter,0
9,3,Aaron Carter,0
9,4,Aaron Carter,0
9,5,Aaron Carter,0
9,6,Aaron Carter,0
9,7,Aaron Carter,0
9,8,Aaron Carter,0
9,9,Aaron Carter,1
9,10,Aaron Carter,1
9,1,Ashley Hamiliton,0
9,2,Ashley Hamiliton,1
9,3,Ashley Hamiliton,1
9,4,Ashley Hamiliton,1
9,5,Ashley Hamiliton,1
9,6,Ashley Hamiliton,1
9,7,Ashley Hamiliton,1
9,8,Ashley Hamiliton,1
9,9,Ashley Hamiliton,1
9,10,Ashley Hamiliton,1
9,1,Chuck Liddell,0
9,2,Chuck Liddell,0
9,3,Chuck Liddell,0
9,4,Chuck Liddell,0
9,5,Chuck Liddell,1
9,6,Chuck Liddell,1
9,7,Chuck Liddell,1
9,8,Chuck Liddell,1
9,9,Chuck Liddell,1
9,10,Chuck Liddell,1
9,1,Debi Mazar,0
9,2,Debi Mazar,0
9,3,Debi Mazar,0
9,4,Debi Mazar,1
9,5,Debi Mazar,1
9,6,Debi Mazar,1
9,7,Debi Mazar,1
9,8,Debi Mazar,1
9,9,Debi Mazar,1
9,10,Debi Mazar,1
9,1,Donny Osmond,0
9,2,Donny Osmond,0
9,3,Donny Osmond,0
9,4,Donny Osmond,0
9,5,Donny Osmond,0
9,6,Donny Osmond,0
9,7,Donny Osmond,0
9,8,Donny Osmond,0
9,9,Donny Osmond,0
9,10,Donny Osmond,0
9,1,Joanna Krupa,0
9,2,Joanna Krupa,0
9,3,Joanna Krupa,0
9,4,Joanna Krupa,0
9,5,Joanna Krupa,0
9,6,Joanna Krupa,0
9,7,Joanna Krupa,0
9,8,Joanna Krupa,0
9,9,Joanna Krupa,0
9,10,Joanna Krupa,1
9,1,Kathy Ireland,0
9,2,Kathy Ireland,0
9,3,Kathy Ireland,1
9,4,Kathy Ireland,1
9,5,Kathy Ireland,1
9,6,Kathy Ireland,1
9,7,Kathy Ireland,1
9,8,Kathy Ireland,1
9,9,Kathy Ireland,1
9,10,Kathy Ireland,1
9,1,Kelly Osbourne,0
9,2,Kelly Osbourne,0
9,3,Kelly Osbourne,0
9,4,Kelly Osbourne,0
9,5,Kelly Osbourne,0
9,6,Kelly Osbourne,0
9,7,Kelly Osbourne,0
9,8,Kelly Osbourne,0
9,9,Kelly Osbourne,0
9,10,Kelly Osbourne,0
9,1,Louie Vito,0
9,2,Louie Vito,0
9,3,Louie Vito,0
9,4,Louie Vito,0
9,5,Louie Vito,0
9,6,Louie Vito,0
9,7,Louie Vito,1
9,8,Louie Vito,1
9,9,Louie Vito,1
9,10,Louie Vito,1
9,1,Macy Gray,0
9,2,Macy Gray,1
9,3,Macy Gray,1
9,4,Macy Gray,1
9,5,Macy Gray,1
9,6,Macy Gray,1
9,7,Macy Gray,1
9,8,Macy Gray,1
9,9,Macy Gray,1
9,10,Macy Gray,1
9,1,Mark Dacascos,0
9,2,Mark Dacascos,0
9,3,Mark Dacascos,0
9,4,Mark Dacascos,0
