season,week,celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,results,placement,judge1_score,judge2_score,judge3_score,judge4_score,raw_total_score,is_active,row_valid_judge_count,week_valid_judge_count,max_possible_score,normalized_score
26,1,Adam Rippon,Jenna Johnson,Athlete,Pennsylvania,United States,28,1st Place,1,8.0,8.0,8.0,,24.0,True,3,3.0,30.0,0.8
26,2,Adam Rippon,Jenna Johnson,Athlete,Pennsylvania,United States,28,1st Place,1,9.0,9.5,9.0,9.5,37.0,True,4,4.0,40.0,0.925
26,3,Adam Rippon,Jenna Johnson,Athlete,Pennsylvania,United States,28,1st Place,1,10.5,10.5,9.5,10.5,41.0,True,4,4.0,40.0,1.025
26,4,Adam Rippon,Jenna Johnson,Athlete,Pennsylvania,United States,28,1st Place,1,9.5,9.5,10.0,,29.0,True,3,3.0,30.0,0.9666666666666667
32,1,Adrian Peterson,Britt Stewart,Athlete,Texas,United States,38,Eliminated Week 4,11,6.0,6.0,6.0,,18.0,True,3,3.0,30.0,0.6
32,2,Adrian Peterson,Britt Stewart,Athlete,Texas,United States,38,Eliminated Week 4,11,5.0,5.0,5.0,,15.0,True,3,3.0,30.0,0.5
32,3,Adrian Peterson,Britt Stewart,Athlete,Texas,United States,38,Eliminated Week 4,11,5.0,5.0,6.0,6.0,22.0,True,4,4.0,40.0,0.55
32,4,Adrian Peterson,Britt Stewart,Athlete,Texas,United States,38,Eliminated Week 4,11,7.0,7.0,7.0,,21.0,True,3,3.0,30.0,0.7
32,5,Adrian Peterson,Britt Stewart,Athlete,Texas,United States,38,Eliminated Week 4,11,0.0,0.0,0.0,,0.0,False,3,3.0,30.0,
32,6,Adrian Peterson,Britt Stewart,Athlete,Texas,United States,38,Eliminated Week 4,11,0.0,0.0,0.0,0.0,0.0,False,4,4.0,40.0,
32,7,Adrian Peterson,Britt Stewart,Athlete,Texas,United States,38,Eliminated Week 4,11,0.0,0.0,0.0,0.0,0.0,False,4,4.0,40.0,
32,8,Adrian Peterson,Britt Stewart,Athlete,Texas,United States,38,Eliminated Week 4,11,0.0,0.0,0.0,0.0,0.0,False,4,4.0,40.0,
32,9,Adrian Peterson,Britt Stewart,Athlete,Texas,United States,38,Eliminated Week 4,11,0.0,0.0,0.0,0.0,0.0,False,4,4.0,40.0,
32,10,Adrian Peterson,Britt Stewart,Athlete,Texas,United States,38,Eliminated Week 4,11,0.0,0.0,0.0,,0.0,False,3,3.0,30.0,
32,11,Adrian Peterson,Britt Stewart,Athlete,Texas,United States,38,Eliminated Week 4,11,0.0,0.0,0.0,,0.0,False,3,3.0,30.0,
5,1,Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,Eliminated Week 2,11,7.0,7.0,7.0,,21.0,True,3,3.0,30.0,0.7
5,2,Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,Eliminated Week 2,11,7.0,7.0,7.0,,21.0,True,3,3.0,30.0,0.7
5,3,Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,Eliminated Week 2,11,0.0,0.0,0.0,,0.0,False,3,3.0,30.0,
5,4,Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,Eliminated Week 2,11,0.0,0.0,0.0,,0.0,False,3,3.0,30.0,
5,5,Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,Eliminated Week 2,11,0.0,0.0,0.0,,0.0,False,3,3.0,30.0,
5,6,Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,Eliminated Week 2,11,0.0,0.0,0.0,,0.0,False,3,3.0,30.0,
5,7,Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,Eliminated Week 2,11,0.0,0.0,0.0,,0.0,False,3,3.0,30.0,
5,8,Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,Eliminated Week 2,11,0.0,0.0,0.0,,0.0,False,3,3.0,30.0,
5,9,Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,Eliminated Week 2,11,0.0,0.0,0.0,,0.0,False,3,3.0,30.0,
5,10,Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,Eliminated Week 2,11,0.0,0.0,0.0,,0.0,False,3,3.0,30.0,
21,1,Alek Skarlatos,Lindsay Arnold,Military,California,United States,22,3rd Place,3,8.0,7.0,7.0,,22.0,True,3,3.0,30.0,0.7333333333333333
21,2,Alek Skarlatos,Lindsay Arnold,Military,California,United States,22,3rd Place,3,7.5,7.0,8.0,,22.5,True,3,3.0,30.0,0.75
21,3,Alek Skarlatos,Lindsay Arnold,Military,California,United States,22,3rd Place,3,8.0,8.0,9.0,8.0,33.0,True,4,4.0,40.0,0.825
21,4,Alek Skarlatos,Lindsay Arnold,Military,California,United States,22,3rd Place,3,8.0,8.0,8.0,,24.0,True,3,3.0,30.0,0.8
21,5,Alek Skarlatos,Lindsay Arnold,Military,California,United States,22,3rd Place,3,8.0,7.0,7.0,7.0,29.0,True,4,4.0,40.0,0.725
21,6,Alek Skarlatos,Lindsay Arnold,Military,California,United States,22,3rd Place,3,8.0,8.0,7.0,7.0,30.0,True,4,4.0,40.0,0.75
21,7,Alek Skarlatos,Lindsay Arnold,Military,California,United States,22,3rd Place,3,9.0,9.0,8.5,,26.5,True,3,3.0,30.0,0.8833333333333333
21,8,Alek Skarlatos,Lindsay Arnold,Military,California,United States,22,3rd Place,3,9.0,8.0,8.0,,25.0,True,3,3.0,30.0,0.8333333333333334
21,9,Alek Skarlatos,Lindsay Arnold,Military,California,United States,22,3rd Place,3,8.5,8.5,8.5,,25.5,True,3,3.0,30.0,0.85
21,10,Alek Skarlatos,Lindsay Arnold,Military,California,United States,22,3rd Place,3,9.5,9.5,9.5,,28.5,True,3,3.0,30.0,0.95
21,11,Alek Skarlatos,Lindsay Arnold,Military,California,United States,22,3rd Place,3,9.3333,9.3333,9.3333,,27.999899999999997,True,3,3.0,30.0,0.9333299999999999
21,1,Alexa PenaVega,Mark Ballas,Actor/Actress,Florida,United States,27,Eliminated Week 9,6,7.0,7.0,8.0,,22.0,True,3,3.0,30.0,0.7333333333333333
21,2,Alexa PenaVega,Mark Ballas,Actor/Actress,Florida,United States,27,Eliminated Week 9,6,7.5,7.5,8.0,,23.0,True,3,3.0,30.0,0.7666666666666667
21,3,Alexa PenaVega,Mark Ballas,Actor/Actress,Florida,United States,27,Eliminated Week 9,6,9.0,9.0,9.0,9.0,36.0,True,4,4.0,40.0,0.9
21,4,Alexa PenaVega,Mark Ballas,Actor/Actress,Florida,United States,27,Eliminated Week 9,6,7.0,7.0,7.0,,21.0,True,3,3.0,30.0,0.7
21,5,Alexa PenaVega,Mark Ballas,Actor/Actress,Florida,United States,27,Eliminated Week 9,6,10.0,10.0,10.0,10.0,40.0,True,4,4.0,40.0,1.0
21,6,Alexa PenaVega,Mark Ballas,Actor/Actress,Florida,United States,27,Eliminated Week 9,6,8.0,7.0,7.0,8.0,30.0,True,4,4.0,40.0,0.75
21,7,Alexa PenaVega,Mark Ballas,Actor/Actress,Florida,United States,27,Eliminated Week 9,6,9.0,9.5,9.0,,27.5,True,3,3.0,30.0,0.9166666666666666
21,8,Alexa PenaVega,Mark Ballas,Actor/Actress,Florida,United States,27,Eliminated Week 9,6,9.6666,8.6666,8.6666,,26.9998,True,3,3.0,30.0,0.8999933333333333
21,9,Alexa PenaVega,Mark Ballas,Actor/Actress,Florida,United States,27,Eliminated Week 9,6,10.0,10.0,10.0,,30.0,True,3,3.0,30.0,1.0
21,10,Alexa PenaVega,Mark Ballas,Actor/Actress,Florida,United States,27,Eliminated Week 9,6,0.0,0.0,0.0,,0.0,False,3,3.0,30.0,
21,11,Alexa PenaVega,Mark Ballas,Actor/Actress,Florida,United States,27,Eliminated Week 9,6,0.0,0.0,0.0,,0.0,False,3,3.0,30.0,
16,1,Alexandra Raisman,Mark Ballas,Athlete,Massachusetts,United States,18,Eliminated Week 10,4,7.0,7.0,7.0,,21.0,True,3,3.0,30.0,0.7
16,2,Alexandra Raisman,Mark Ballas,Athlete,Massachusetts,United States,18,Eliminated Week 10,4,8.0,8.0,8.0,,24.0,True,3,3.0,30.0,0.8
16,3,Alexandra Raisman,Mark Ballas,Athlete,Massachusetts,United States,18,Eliminated Week 10,4,7.0,8.0,8.0,,23.0,True,3,3.0,30.0,0.7666666666666667
16,4,Alexandra Raisman,Mark Ballas,Athlete,Massachusetts,United States,18,Eliminated Week 10,4,9.0,9.0,9.0,,27.0,True,3,3.0,30.0,0.9
16,5,Alexandra Raisman,Mark Ballas,Athlete,Massachusetts,United States,18,Eliminated Week 10,4,8.0,8.0,9.0,,25.0,True,3,3.0,30.0,0.8333333333333334
16,6,Alexandra Raisman,Mark Ballas,Athlete,Massachusetts,United States,18,Eliminated Week 10,4,8.5,9.0,8.5,,26.0,True,3,3.0,30.0,0.8666666666666667
16,7,Alexandra Raisman,Mark Ballas,Athlete,Massachusetts,United States,18,Eliminated Week 10,4,11.0,10.0,11.0,,32.0,True,3,3.0,30.0,1.0666666666666667
16,8,Alexandra Raisman,Mark Ballas,Athlete,Massachusetts,United States,18,Eliminated Week 10,4,9.0,9.5,9.5,,28.0,True,3,3.0,30.0,0.9333333333333333
16,9,Alexandra Raisman,Mark Ballas,Athlete,Massachusetts,United States,18,Eliminated Week 10,4,10.0,9.5,10.0,,29.5,True,3,3.0,30.0,0.9833333333333333
16,10,Alexandra Raisman,Mark Ballas,Athlete,Massachusetts,United States,18,Eliminated Week 10,4,9.5,9.5,10.0,,29.0,True,3,3.0,30.0,0.9666666666666667
27,1,Alexis Ren,Alan Bersten,Social Media Personality,California,United States,21,4th Place,4,7.0,7.5,7.5,,22.0,True,3,3.0,30.0,0.7333333333333333
27,2,Alexis Ren,Alan Bersten,Social Media Personality,California,United States,21,4th Place,4,8.0,8.5,8.0,,24.5,True,3,3.0,30.0,0.8166666666666667
27,3,Alexis Ren,Alan Bersten,Social Media Personality,California,United States,21,4th Place,4,9.0,8.0,9.0,,26.0,True,3,3.0,30.0,0.8666666666666667
27,4,Alexis Ren,Alan Bersten,Social Media Personality,California,United States,21,4th Place,4,8.0,8.0,9.0,,25.0,True,3,3.0,30.0,0.8333333333333334
27,5,Alexis Ren,Alan Bersten,Social Media Personality,California,United States,21,4th Place,4,10.0,9.0,10.0,,29.0,True,3,3.0,30.0,0.9666666666666667
27,6,Alexis Ren,Alan Bersten,Social Media Personality,California,United States,21,4th Place,4,9.0,9.0,9.0,,27.0,True,3,3.0,30.0,0.9
27,7,Alexis Ren,Alan Bersten,Social Media Personality,California,United States,21,4th Place,4,9.0,9.0,9.5,,27.5,True,3,3.0,30.0,0.9166666666666666
27,8,Alexis Ren,Alan Bersten,Social Media Personality,California,United States,21,4th Place,4,9.5,9.5,10.0,,29.0,True,3,3.0,30.0,0.9666666666666667
27,9,Alexis Ren,Alan Bersten,Social Media Personality,California,United States,21,4th Place,4,9.5,9.5,9.5,,28.5,True,3,3.0,30.0,0.95
19,1,Alfonso Ribeiro,Witney Carson,Actor/Actress,New York,United States,42,1st Place,1,9.0,9.0,9.0,9.0,36.0,True,4,4.0,40.0,0.9
19,2,Alfonso Ribeiro,Witney Carson,Actor/Actress,New York,United States,42,1st Place,1,8.0,8.0,8.0,8.0,32.0,True,4,4.0,40.0,0.8
19,3,Alfonso Ribeiro,Witney Carson,Actor/Actress,New York,United States,42,1st Place,1,8.0,8.0,8.0,8.0,32.0,True,4,4.0,40.0,0.8
19,4,Alfonso Ribeiro,Witney Carson,Actor/Actress,New York,United States,42,1st Place,1,10.0,10.0,10.0,10.0,40.0,True,4,4.0,40.0,1.0
19,5,Alfonso Ribeiro,Witney Carson,Actor/Actress,New York,United States,42,1st Place,1,8.0,9.0,9.0,8.0,34.0,True,4,4.0,40.0,0.85
19,6,Alfonso Ribeiro,Witney Carson,Actor/Actress,New York,United States,42,1st Place,1,10.0,10.0,9.0,10.0,39.0,True,4,4.0,40.0,0.975
19,7,Alfonso Ribeiro,Witney Carson,Actor/Actress,New York,United States,42,1st Place,1,8.5,8.5,8.5,8.5,34.0,True,4,4.0,40.0,0.85
19,8,Alfonso Ribeiro,Witney Carson,Actor/Actress,New York,United States,42,1st Place,1,10.75,9.75,9.75,10.75,41.0,True,4,4.0,40.0,1.025
19,9,Alfonso Ribeiro,Witney Carson,Actor/Actress,New York,United States,42,1st Place,1,9.5,9.5,9.5,10.0,38.5,True,4,4.0,40.0,0.9625
19,10,Alfonso Ribeiro,Witney Carson,Actor/Actress,New York,United States,42,1st Place,1,9.5,9.0,9.5,9.5,37.5,True,4,4.0,40.0,0.9375
19,11,Alfonso Ribeiro,Witney Carson,Actor/Actress,New York,United States,42,1st Place,1,10.0,10.0,10.0,10.0,40.0,True,4,4.0,40.0,1.0
34,1,Alix Earle,Val Chmerkovskiy (Joey Graziadei week 9),Social media personality,Florida,United States,24,2nd Place,2,7.0,6.0,,,13.0,True,2,2.0,20.0,0.65
34,2,Alix Earle,Val Chmerkovskiy (Joey Graziadei week 9),Social media personality,Florida,United States,24,2nd Place,2,7.0,7.0,7.0,,21.0,True,3,3.0,30.0,0.7
34,3,Alix Earle,Val Chmerkovskiy (Joey Graziadei week 9),Social media personality,Florida,United States,24,2nd Place,2,8.0,7.0,8.0,,23.0,True,3,3.0,30.0,0.7666666666666667
34,4,Alix Earle,Val Chmerkovskiy (Joey Graziadei week 9),Social media personality,Florida,United States,24,2nd Place,2,8.0,8.0,8.0,,24.0,True,3,3.0,30.0,0.8
34,5,Alix Earle,Val Chmerkovskiy (Joey Graziadei week 9),Social media personality,Florida,United States,24,2nd Place,2,8.0,9.0,9.0,9.0,35.0,True,4,4.0,40.0,0.875
34,6,Alix Earle,Val Chmerkovskiy (Joey Graziadei week 9),Social media personality,Florida,United States,24,2nd Place,2,9.0,9.0,8.0,9.0,35.0,True,4,4.0,40.0,0.875
34,7,Alix Earle,Val Chmerkovskiy (Joey Graziadei week 9),Social media personality,Florida,United States,24,2nd Place,2,11.0,11.0,10.0,11.0,43.0,True,4,4.0,40.0,1.075
34,8,Alix Earle,Val Chmerkovskiy (Joey Graziadei week 9),Social media personality,Florida,United States,24,2nd Place,2,9.5,10.0,9.5,9.5,38.5,True,4,4.0,40.0,0.9625
34,9,Alix Earle,Val Chmerkovskiy (Joey Graziadei week 9),Social media personality,Florida,United States,24,2nd Place,2,10.0,10.0,10.0,10.0,40.0,True,4,4.0,40.0,1.0
34,10,Alix Earle,Val Chmerkovskiy (Joey Graziadei week 9),Social media personality,Florida,United States,24,2nd Place,2,9.5,10.0,9.5,,29.0,True,3,3.0,30.0,0.9666666666666667
34,11,Alix Earle,Val Chmerkovskiy (Joey Graziadei week 9),Social media personality,Florida,United States,24,2nd Place,2,10.0,10.0,10.0,,30.0,True,3,3.0,30.0,1.0
28,1,Ally Brooke,Sasha Farber,Singer/Rapper,Texas,United States,26,3rd Place,3,5.0,5.0,6.0,,16.0,True,3,3.0,30.0,0.5333333333333333
28,2,Ally Brooke,Sasha Farber,Singer/Rapper,Texas,United States,26,3rd Place,3,7.0,6.0,7.0,,20.0,True,3,3.0,30.0,0.6666666666666666
28,3,Ally Brooke,Sasha Farber,Singer/Rapper,Texas,United States,26,3rd Place,3,8.0,8.0,8.0,,24.0,True,3,3.0,30.0,0.8
28,4,Ally Brooke,Sasha Farber,Singer/Rapper,Texas,United States,26,3rd Place,3,8.0,8.0,8.0,8.0,32.0,True,4,4.0,40.0,0.8
28,5,Ally Brooke,Sasha Farber,Singer/Rapper,Texas,United States,26,3rd Place,3,9.0,9.0,9.0,,27.0,True,3,3.0,30.0,0.9
28,6,Ally Brooke,Sasha Farber,Singer/Rapper,Texas,United States,26,3rd Place,3,8.0,9.0,8.0,,25.0,True,3,3.0,30.0,0.8333333333333334
28,7,Ally Brooke,Sasha Farber,Singer/Rapper,Texas,United States,26,3rd Place,3,9.0,9.0,9.0,,27.0,True,3,3.0,30.0,0.9
28,8,Ally Brooke,Sasha Farber,Singer/Rapper,Texas,United States,26,3rd Place,3,10.0,10.0,10.0,,30.0,True,3,3.0,30.0,1.0
28,9,Ally Brooke,Sasha Farber,Singer/Rapper,Texas,United States,26,3rd Place,3,10.0,10.0,10.0,10.0,40.0,True,4,4.0,40.0,1.0
28,10,Ally Brooke,Sasha Farber,Singer/Rapper,Texas,United States,26,3rd Place,3,10.0,9.5,10.0,,29.5,True,3,3.0,30.0,0.9833333333333333
28,11,Ally Brooke,Sasha Farber,Singer/Rapper,Texas,United States,26,3rd Place,3,10.0,10.0,10.0,,30.0,True,3,3.0,30.0,1.0
32,1,Alyson Hannigan,Sasha Farber,Actor/Actress,Washington D.C.,United States,49,5th Place,5,5.0,4.0,4.0,,13.0,True,3,3.0,30.0,0.43333333333333335
32,2,Alyson Hannigan,Sasha Farber,Actor/Actress,Washington D.C.,United States,49,5th Place,5,7.0,6.0,6.0,,19.0,True,3,3.0,30.0,0.6333333333333333
32,3,Alyson Hannigan,Sasha Farber,Actor/Actress,Washington D.C.,United States,49,5th Place,5,6.0,6.0,6.0,6.0,24.0,True,4,4.0,40.0,0.6
32,4,Alyson Hannigan,Sasha Farber,Actor/Actress,Washington D.C.,United States,49,5th Place,5,6.0,6.0,6.0,,18.0,True,3,3.0,30.0,0.6
32,5,Alyson Hannigan,Sasha Farber,Actor/Actress,Washington D.C.,United States,49,5th Place,5,7.0,7.0,7.0,,21.0,True,3,3.0,30.0,0.7
32,6,Alyson Hannigan,Sasha Farber,Actor/Actress,Washington D.C.,United States,49,5th Place,5,7.5,7.5,7.5,8.5,31.0,True,4,4.0,40.0,0.775
32,7,Alyson Hannigan,Sasha Farber,Actor/Actress,Washington D.C.,United States,49,5th Place,5,8.5,8.5,9.5,8.5,35.0,True,4,4.0,40.0,0.875
32,8,Alyson Hannigan,Sasha Farber,Actor/Actress,Washington D.C.,United States,49,5th Place,5,8.75,8.75,9.75,8.75,36.0,True,4,4.0,40.0,0.9
32,9,Alyson Hannigan,Sasha Farber,Actor/Actress,Washington D.C.,United States,49,5th Place,5,7.75,7.75,8.75,7.75,32.0,True,4,4.0,40.0,0.8
32,10,Alyson Hannigan,Sasha Farber,Actor/Actress,Washington D.C.,United States,49,5th Place,5,8.5,8.5,8.5,,25.5,True,3,3.0,30.0,0.85
32,11,Alyson Hannigan,Sasha Farber,Actor/Actress,Washington D.C.,United States,49,5th Place,5,9.0,8.5,9.0,,26.5,True,3,3.0,30.0,0.8833333333333333
30,1,Amanda Kloots,Alan Bersten,TV Personality,Ohio,United States,39,4th Place,4,7.0,7.0,7.0,7.0,28.0,True,4,4.0,40.0,0.7
30,2,Amanda Kloots,Alan Bersten,TV Personality,Ohio,United States,39,4th Place,4,8.0,8.0,8.0,8.0,32.0,True,4,4.0,40.0,0.8
30,3,Amanda Kloots,Alan Bersten,TV Personality,Ohio,United States,39,4th Place,4,8.0,8.0,8.0,,24.0,True,3,3.0,30.0,0.8
30,4,Amanda Kloots,Alan Bersten,TV Personality,Ohio,United States,39,4th Place,4,8.5,8.5,8.5,8.5,34.0,True,4,4.0,40.0,0.85
30,5,Amanda Kloots,Alan Bersten,TV Personality,Ohio,United States,39,4th Place,4,10.0,10.0,9.0,10.0,39.0,True,4,4.0,40.0,0.975
30,6,Amanda Kloots,Alan Bersten,TV Personality,Ohio,United States,39,4th Place,4,9.0,9.0,10.0,10.0,38.0,True,4,4.0,40.0,0.95
30,7,Amanda Kloots,Alan Bersten,TV Personality,Ohio,United States,39,4th Place,4,8.25,8.25,8.25,9.25,34.0,True,4,4.0,40.0,0.85
30,8,Amanda Kloots,Alan Bersten,TV Personality,Ohio,United States,39,4th Place,4,10.5,10.5,10.5,10.5,42.0,True,4,4.0,40.0,1.05
30,9,Amanda Kloots,Alan Bersten,TV Personality,Ohio,United States,39,4th Place,4,9.5,10.0,10.0,10.0,39.5,True,4,4.0,40.0,0.9875
30,10,Amanda Kloots,Alan Bersten,TV Personality,Ohio,United States,39,4th Place,4,9.5,10.0,9.5,10.0,39.0,True,4,4.0,40.0,0.975
17,1,Amber Riley,Derek Hough,Actor/Actress,California,United States,27,1st Place,1,9.0,9.0,9.0,,27.0,True,3,3.0,30.0,0.9
17,2,Amber Riley,Derek Hough,Actor/Actress,California,United States,27,1st Place,1,8.0,8.0,8.0,,24.0,True,3,3.0,30.0,0.8
17,3,Amber Riley,Derek Hough,Actor/Actress,California,United States,27,1st Place,1,8.0,8.0,8.0,,24.0,True,3,3.0,30.0,0.8
17,4,Amber Riley,Derek Hough,Actor/Actress,California,United States,27,1st Place,1,9.0,9.0,9.0,,27.0,True,3,3.0,30.0,0.9
17,5,Amber Riley,Derek Hough,Actor/Actress,California,United States,27,1st Place,1,9.0,7.0,10.0,,26.0,True,3,3.0,30.0,0.8666666666666667
17,6,Amber Riley,Derek Hough,Actor/Actress,California,United States,27,1st Place,1,11.3333,9.3333,11.3333,,31.999899999999997,True,3,3.0,30.0,1.0666633333333333
17,7,Amber Riley,Derek Hough,Actor/Actress,California,United States,27,1st Place,1,10.0,10.0,9.5,,29.5,True,3,3.0,30.0,0.9833333333333333
17,8,Amber Riley,Derek Hough,Actor/Actress,California,United States,27,1st Place,1,9.0,9.0,10.0,,28.0,True,3,3.0,30.0,0.9333333333333333
17,9,Amber Riley,Derek Hough,Actor/Actress,California,United States,27,1st Place,1,8.5,8.5,8.5,,25.5,True,3,3.0,30.0,0.85
17,10,Amber Riley,Derek Hough,Actor/Actress,California,United States,27,1st Place,1,10.0,10.0,9.5,10.0,39.5,True,4,4.0,40.0,0.9875
17,11,Amber Riley,Derek Hough,Actor/Actress,California,United States,27,1st Place,1,10.4444,10.4444,10.4444,,31.333199999999998,True,3,3.0,30.0,1.04444
23,1,Amber Rose,Maksim Chmerkoskiy,Model,Pennsylvania,United States,32,Eliminated Week 6,9,6.0,6.0,6.0,6.0,24.0,True,4,4.0,40.0,0.6
23,2,Amber Rose,Maksim Chmerkoskiy,Model,Pennsylvania,United States,32,Eliminated Week 6,9,6.0,6.0,6.0,6.0,24.0,True,4,4.0,40.0,0.6
23,3,Amber Rose,Maksim Chmerkoskiy,Model,Pennsylvania,United States,32,Eliminated Week 6,9,7.0,6.0,6.0,6.0,25.0,True,4,4.0,40.0,0.625
23,4,Amber Rose,Maksim Chmerkoskiy,Model,Pennsylvania,United States,32,Eliminated Week 6,9,8.0,8.0,8.0,,24.0,True,3,3.0,30.0,0.8
